;Mar24_TPC_08-02-0_HMW;Mar24_TPC_08-02-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1658,665;0,08391847;0,06584366;
1660,529;0,08271874;0,0646739;
1662,393;0,08103024;0,06301523;
1664,256;0,07872217;0,06073685;
1666,120;0,07722166;0,05926591;
1667,984;0,07633663;0,05841032;
1669,847;0,07457756;0,05668055;
1671,711;0,07249766;0,05462983;
1673,575;0,07123232;0,05339353;
1675,438;0,0693504;0,05154052;
1677,302;0,06710723;0,04932613;
1679,166;0,06543455;0,04768212;
1681,029;0,06427079;0,04654688;
1682,893;0,06380673;0,04611123;
1684,757;0,06168545;0,04401823;
1686,620;0,0597367;0,04209763;
1688,484;0,05809267;0,04048163;
1690,348;0,05628817;0,03870504;
1692,211;0,05463063;0,03707528;
1694,075;0,05381576;0,03628808;
1695,939;0,05226667;0,03476652;
1697,802;0,0513571;0,03388438;
1699,666;0,05032703;0,03288161;
1701,530;0,04822798;0,03080973;
1703,393;0,04690322;0,02951204;
1705,257;0,04555376;0,02818951;
1707,121;0,04407396;0,02673654;
1708,984;0,04252877;0,02521806;
1710,848;0,04116183;0,02387771;
1712,712;0,04009908;0,02284144;
1714,575;0,03936291;0,02213163;
1716,439;0,03869188;0,02148685;
1718,303;0,03715985;0,01998095;
1720,166;0,03573925;0,01858637;
1722,030;0,03463042;0,01750345;
1723,894;0,03359943;0,01649825;
1725,757;0,03251698;0,01544149;
1727,621;0,03156405;0,01451413;
1729,485;0,03079917;0,01377472;
1731,348;0,03039078;0,01339168;
1733,212;0,03002884;0,01305499;
1735,076;0,02897372;0,01202501;
1736,939;0,02831139;0,0113877;
1738,803;0,02778674;0,01088797;
1740,667;0,02750151;0,01062756;
1742,530;0,02693641;0,01008717;
1744,394;0,02649322;0,009668586;
1746,258;0,02630358;0,009503438;
1748,121;0,02616482;0,009389082;
1749,985;0,02597103;0,00921958;
1751,849;0,02531228;0,008585019;
1753,712;0,0247797;0,008076516;
1755,576;0,02447639;0,007797197;
1757,440;0,02421661;0,007561294;
1759,303;0,02394367;0,007312129;
1761,167;0,02343404;0,006826186;
1763,031;0,02285628;0,006271997;
1764,894;0,02237045;0,00580965;
1766,758;0,02208436;0,005546939;
1768,622;0,02172523;0,005211098;
1770,485;0,02135972;0,004868774;
1772,349;0,02062143;0,004153563;
1774,213;0,02004853;0,003603655;
1776,076;0,01944172;0,00301974;
1777,940;0,01913568;0,002736497;
1779,804;0,01867775;0,002301267;
1781,667;0,01818932;0,001835449;
1783,531;0,01773435;0,001402988;
1785,395;0,01729543;0,0009864903;
1787,258;0,01686036;0,000573749;
1789,122;0,01656061;0,0002962344;
1790,986;0,01644751;0,0002052695;
1792,849;0,01616361;-5,658413E-5;
1794,713;0,01575506;-0,0004431752;
1796,577;0,01542689;-0,0007494773;
1798,441;0,01536519;-0,0007893995;
1800,304;0,01524888;-0,0008840285;
1802,168;0,01502934;-0,001081968;
1804,032;0,01473987;-0,001349933;
1805,895;0,01457178;-0,001496606;
1807,759;0,01456259;-0,001484462;
1809,623;0,01445238;-0,001573437;
1811,486;0,01433462;-0,001670036;
1813,350;0,01415354;-0,001830053;
1815,214;0,01397466;-0,00198795;
1817,077;0,0139353;-0,002006419;
1818,941;0,01401323;-0,001907677;
1820,805;0,01398217;-0,001918008;
1822,668;0,0139943;-0,001885244;
1824,532;0,01402436;-0,001834626;
1826,396;0,01416983;-0,001668687;
1828,259;0,01418573;-0,001632389;
1830,123;0,01396696;-0,001830854;
1831,987;0,0138261;-0,001951498;
1833,850;0,01371193;-0,002045523;
1835,714;0,01370486;-0,002032535;
1837,578;0,013763;-0,001954416;
1839,441;0,01371554;-0,001981981;
1841,305;0,01377943;-0,001898268;
1843,169;0,01390546;-0,001752503;
1845,032;0,01385146;-0,001786848;
1846,896;0,01372933;-0,001889397;
1848,760;0,01377506;-0,001824177;
1850,623;0,01390956;-0,001670255;
1852,487;0,01372631;-0,001834159;
1854,351;0,01375687;-0,001784331;
1856,214;0,01385689;-0,00166513;
1858,078;0,01385509;-0,001647821;
1859,942;0,01387827;-0,001605603;
1861,805;0,01392827;-0,001536643;
1863,669;0,01367399;-0,001772041;
1865,533;0,01364466;-0,001782564;
1867,396;0,01388253;-0,00152597;
1869,260;0,01378625;-0,001603591;
1871,124;0,01352188;-0,001849376;
1872,987;0,01350873;-0,001844014;
1874,851;0,01356954;-0,001764771;
1876,715;0,01359798;-0,001717975;
1878,578;0,0137504;-0,001547264;
1880,442;0,01366447;-0,001614976;
1882,306;0,01345927;-0,001802034;
1884,169;0,01354377;-0,001699454;
1886,033;0,01348697;-0,001738253;
1887,897;0,01324576;-0,001961537;
1889,760;0,01319523;-0,001994209;
1891,624;0,01327171;-0,001899935;
1893,488;0,01323917;-0,001914759;
1895,351;0,01323068;-0,001905592;
1897,215;0,01312368;-0,00199501;
1899,079;0,01299046;-0,002110719;
1900,942;0,01301321;-0,002070532;
1902,806;0,01289381;-0,002172553;
1904,670;0,01276916;-0,002279893;
1906,533;0,01289406;-0,002137758;
1908,397;0,01300376;-0,002010889;
1910,261;0,01279464;-0,002202898;
1912,124;0,01273845;-0,002242053;
1913,988;0,01302101;-0,001942516;
1915,852;0,01300456;-0,001942064;
1917,715;0,01261415;-0,002315632;
1919,579;0,01243244;-0,002480567;
1921,443;0,0123161;-0,002580191;
1923,306;0,01220008;-0,002679569;
1925,170;0,01206416;-0,002798906;
1927,034;0,01196115;-0,002885401;
1928,897;0,01158687;-0,003243232;
1930,761;0,01133029;-0,00348342;
1932,625;0,01130234;-0,003495039;
1934,488;0,01123895;-0,003542167;
1936,352;0,01108278;-0,00368214;
1938,216;0,01112467;-0,003624108;
1940,079;0,01099905;-0,003733647;
1941,943;0,01036974;-0,004346948;
1943,807;0,009664162;-0,005036568;
1945,670;0,009361209;-0,005323628;
1947,534;0,009597257;-0,005071747;
1949,398;0,009722503;-0,004930729;
1951,261;0,009201523;-0,005435998;
1953,125;0,008904599;-0,00571727;
1954,989;0,008636542;-0,005969735;
1956,852;0,007972087;-0,006618658;
1958,716;0,007217989;-0,007357282;
1960,580;0,006869753;-0,007690102;
1962,443;0,006442086;-0,008102413;
1964,307;0,006179607;-0,008349594;
1966,171;0,006236814;-0,008277147;
1968,034;0,005947351;-0,008551428;
1969,898;0,005473813;-0,009009841;
1971,762;0,005292158;-0,009176427;
1973,625;0,004685266;-0,009768308;
1975,489;0,004380667;-0,01005795;
1977,353;0,004049739;-0,01037398;
1979,216;0,004980584;-0,009428295;
1981,080;0,006528849;-0,007865243;
1982,944;0,007447977;-0,006931385;
1984,807;0,00724924;-0,007115446;
1986,671;0,006297923;-0,008052142;
1988,535;0,006763718;-0,007571781;
1990,398;0,007146132;-0,007174857;
1992,262;0,006538816;-0,007767716;
1994,126;0,006991254;-0,007300874;
1995,989;0,00798465;-0,006293129;
1997,853;0,008185187;-0,006078296;
1999,717;0,007749096;-0,006500145;
2001,580;0,006604915;-0,007630136;
2003,444;0,005927028;-0,008293886;
2005,308;0,005223344;-0,008983486;
2007,171;0,004577114;-0,009615684;
2009,035;0,004731847;-0,009446971;
2010,899;0,004962547;-0,009202342;
2012,762;0,005132129;-0,009018884;
