;Jun18_TPC_0-1-0_HMW;Jun18_TPC_0-1-0_HMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1753,712;0,02345082;-0,002617513;
1755,576;0,02292757;-0,00309147;
1757,440;0,0226416;-0,003328297;
1759,303;0,02224131;-0,003679609;
1761,167;0,02186652;-0,004005572;
1763,031;0,0214466;-0,004376817;
1764,894;0,02102937;-0,004745538;
1766,758;0,02071013;-0,005016413;
1768,622;0,02045599;-0,005222342;
1770,485;0,02009112;-0,005539152;
1772,349;0,01987694;-0,00570542;
1774,213;0,01957812;-0,005956489;
1776,076;0,01934792;-0,00613908;
1777,940;0,01920132;-0,006238227;
1779,804;0,01916418;-0,00622806;
1781,667;0,01909117;-0,006253912;
1783,531;0,01906119;-0,006236878;
1785,395;0,01894753;-0,006303671;
1787,258;0,01877752;-0,006426964;
1789,122;0,018577;-0,006580914;
1790,986;0,01853967;-0,006571824;
1792,849;0,01864004;-0,00642517;
1794,713;0,0185382;-0,006480875;
1796,577;0,01835221;-0,006620868;
1798,441;0,01839657;-0,006530657;
1800,304;0,01846536;-0,006416155;
1802,168;0,0184804;-0,006355552;
1804,032;0,01839694;-0,006393583;
1805,895;0,01836743;-0,006377812;
1807,759;0,01829479;-0,006405308;
1809,623;0,01823596;-0,006419129;
1811,486;0,01820015;-0,006410074;
1813,350;0,01824973;-0,006315763;
1815,214;0,01807094;-0,006449968;
1817,077;0,01796946;-0,006506989;
1818,941;0,01809452;-0,006337609;
1820,805;0,01804835;-0,006339604;
1822,668;0,01791213;-0,006431773;
1824,532;0,01796821;-0,006331779;
1826,396;0,01789653;-0,006359683;
1828,259;0,01775851;-0,006454063;
1830,123;0,01783542;-0,006333642;
1831,987;0,01787788;-0,006247805;
1833,850;0,01786163;-0,006220811;
1835,714;0,01786552;-0,00617381;
1837,578;0,01772859;-0,006267757;
1839,441;0,01773916;-0,006214337;
1841,305;0,01772537;-0,006185408;
1843,169;0,01768894;-0,006179244;
1845,032;0,01757387;-0,006251851;
1846,896;0,01752193;-0,006261459;
1848,760;0,01762745;-0,006113732;
1850,623;0,01771009;-0,005989009;
1852,487;0,01763013;-0,006027025;
1854,351;0,01782882;-0,005786506;
1856,214;0,01801887;-0,005554752;
1858,078;0,01785907;-0,005672981;
1859,942;0,01759168;-0,005898924;
1861,805;0,01765985;-0,005789425;
1863,669;0,01780544;-0,005602635;
1865,533;0,01762725;-0,00573975;
1867,396;0,01724578;-0,006080265;
1869,260;0,01729591;-0,0059893;
1871,124;0,01732773;-0,005916776;
1872,987;0,01734857;-0,005855345;
1874,851;0,01749858;-0,005664862;
1876,715;0,01761603;-0,005507074;
1878,578;0,01748943;-0,005593446;
1880,442;0,0170681;-0,005974661;
1882,306;0,01694075;-0,006062031;
1884,169;0,0173113;-0,005651605;
1886,033;0,01709539;-0,005827764;
1887,897;0,01688506;-0,005998465;
1889,760;0,01724745;-0,005596549;
1891,624;0,01726906;-0,005535543;
1893,488;0,01692922;-0,005836096;
1895,351;0,0169119;-0,005814253;
1897,215;0,01676559;-0,005921505;
1899,079;0,01661402;-0,00603414;
1900,942;0,01644816;-0,006161177;
1902,806;0,01641345;-0,006157174;
1904,670;0,01652551;-0,006006523;
1906,533;0,01667681;-0,005816744;
1908,397;0,01645725;-0,005997927;
1910,261;0,01642533;-0,005991592;
1912,124;0,01646529;-0,005913482;
1913,988;0,01610913;-0,006231612;
1915,852;0,01574093;-0,006561891;
1917,715;0,01563135;-0,006633654;
1919,579;0,01538458;-0,006842727;
1921,443;0,01544557;-0,006744142;
1923,306;0,01543467;-0,006717551;
1925,170;0,01504831;-0,00706654;
1927,034;0,01445924;-0,007618346;
1928,897;0,01456983;-0,007470589;
1930,761;0,01466152;-0,007341856;
1932,625;0,01428266;-0,007683772;
1934,488;0,01386523;-0,008064364;
1936,352;0,01382356;-0,008069295;
1938,216;0,01378935;-0,008066887;
1940,079;0,01351804;-0,00830167;
1941,943;0,01273841;-0,009044888;
1943,807;0,01216025;-0,009586739;
1945,670;0,01209641;-0,009614379;
1947,534;0,01209822;-0,009576462;
1949,398;0,01170543;-0,009933249;
1951,261;0,01146872;-0,01013406;
1953,125;0,01104171;-0,01052528;
1954,989;0,01047996;-0,01105135;
