;Jun02_TPC_1-0-0_LMW;Jun02_TPC_1-0-0_LMW (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1880,442;0,008580263;-0,007960064;
1882,306;0,008445897;-0,008079213;
1884,169;0,008342426;-0,008167511;
1886,033;0,008333511;-0,0081613;
1887,897;0,008399834;-0,008079894;
1889,760;0,00819598;-0,00826871;
1891,624;0,007962973;-0,008486723;
1893,488;0,007929311;-0,008505436;
1895,351;0,007978451;-0,008441391;
1897,215;0,007989929;-0,008415052;
1899,079;0,008032435;-0,008357729;
1900,942;0,008091824;-0,008283566;
1902,806;0,007848494;-0,008512165;
1904,670;0,007840706;-0,008505266;
1906,533;0,008083018;-0,00824831;
1908,397;0,008151833;-0,008164893;
1910,261;0,007965499;-0,008336668;
1912,124;0,007602629;-0,008685022;
1913,988;0,007409596;-0,008863582;
1915,852;0,007619456;-0,00863929;
1917,715;0,007823361;-0,008420995;
1919,579;0,007683223;-0,008546786;
1921,443;0,0074519;-0,008763803;
1923,306;0,007198931;-0,009002508;
1925,170;0,007132254;-0,009054962;
1927,034;0,007027258;-0,009145776;
1928,897;0,006971124;-0,00918777;
1930,761;0,006888493;-0,009256301;
1932,625;0,006684663;-0,009446072;
1934,488;0,006401217;-0,0097155;
1936,352;0,006533874;-0,009568865;
1938,216;0,006764131;-0,009324671;
1940,079;0,006711185;-0,00936372;
1941,943;0,006340826;-0,009720221;
1943,807;0,006011232;-0,010036;
1945,670;0,005580507;-0,01045294;
1947,534;0,00576807;-0,01025164;
1949,398;0,005946888;-0,01005913;
1951,261;0,005328129;-0,01066423;
1953,125;0,004718136;-0,0112606;
1954,989;0,004607402;-0,01135775;
1956,852;0,0041826;-0,01176901;
1958,716;0,003944789;-0,01199332;
1960,580;0,003924816;-0,01199982;
1962,443;0,003652381;-0,01225883;
1964,307;0,003385172;-0,01251265;
1966,171;0,003055276;-0,0128292;
1968,034;0,002979741;-0,01289142;
1969,898;0,002453019;-0,01340486;
1971,762;0,00244697;-0,01339768;
1973,625;0,002915707;-0,01291574;
1975,489;0,00261348;-0,0132048;
1977,353;0,002616018;-0,01318914;
1979,216;0,002632319;-0,01315975;
1981,080;0,002665729;-0,01311329;
1982,944;0,003392075;-0,01237393;
1984,807;0,003968928;-0,01178409;
1986,671;0,003876706;-0,01186337;
1988,535;0,003997931;-0,01172924;
1990,398;0,004568695;-0,01114561;
1992,262;0,004445783;-0,01125569;
1994,126;0,004037135;-0,01165154;
1995,989;0,004080805;-0,01159511;
1997,853;0,004113133;-0,01155006;
1999,717;0,004037604;-0,01161289;
2001,580;0,003930263;-0,01170758;
2003,444;0,003758626;-0,0118666;
2005,308;0,002613663;-0,01299898;
2007,171;0,00174452;-0,01385557;
2009,035;0,002654812;-0,01293276;
2010,899;0,002975292;-0,01259981;
2012,762;0,00285333;-0,01270932;
2014,626;0,002861324;-0,01268892;
2016,490;0,002916603;-0,01262126;
2018,353;0,002948815;-0,01257671;
2020,217;0,001941673;-0,01357154;
2022,081;0,001332167;-0,01416878;
2023,944;0,00143988;-0,01404882;
2025,808;0,001383656;-0,01409284;
2027,672;0,001623291;-0,01384103;
2029,535;0,00242978;-0,01302241;
2031,399;0,003138413;-0,01230167;
2033,263;0,002994065;-0,01243394;
2035,126;0,00265031;-0,01276566;
2036,990;0,00309152;-0,01231244;
2038,854;0,003826229;-0,01156576;
2040,717;0,004214529;-0,01116552;
2042,581;0,004205452;-0,01116269;
2044,445;0,004021543;-0,01133473;
2046,308;0,004534029;-0,0108104;
2048,172;0,005868634;-0,009463983;
2050,036;0,006796149;-0,008524689;
2051,899;0,00733297;-0,007976123;
2053,763;0,007803854;-0,007493524;
