;Jun30_TPC_1-0-0_LMW_salt;Jun30_TPC_1-0-0_LMW_salt (baseline corrected);
Wavelength [nm];Absorbance;absorbance;
1843,169;0,006904227;-0,008789686;
1845,032;0,007400051;-0,008288267;
1846,896;0,007501492;-0,008181253;
1848,760;0,007799597;-0,007877597;
1850,623;0,007824232;-0,007847434;
1852,487;0,007233551;-0,008432609;
1854,351;0,006978024;-0,008682653;
1856,214;0,007451682;-0,008203533;
1858,078;0,008040525;-0,00760925;
1859,942;0,008039896;-0,007604461;
1861,805;0,007681926;-0,007957035;
1863,669;0,007413519;-0,008220067;
1865,533;0,007147815;-0,008480417;
1867,396;0,007377146;-0,008245755;
1869,260;0,007592978;-0,008024613;
1871,124;0,007377118;-0,008235182;
1872,987;0,007258353;-0,008348679;
1874,851;0,007369325;-0,008232459;
1876,715;0,007602429;-0,007994128;
1878,578;0,007666825;-0,007924526;
1880,442;0,007692007;-0,007894159;
1882,306;0,007636726;-0,007944275;
1884,169;0,007424207;-0,008151649;
1886,033;0,007257679;-0,008313053;
1887,897;0,00733016;-0,008235468;
1889,760;0,007167814;-0,00839273;
1891,624;0,006896633;-0,008658847;
1893,488;0,006612559;-0,008937877;
1895,351;0,00682741;-0,008718002;
1897,215;0,00754611;-0,007994297;
1899,079;0,007585522;-0,007949901;
1900,942;0,007254234;-0,008276223;
1902,806;0,007322016;-0,008203495;
1904,670;0,007109368;-0,008411217;
1906,533;0,007025901;-0,008489777;
1908,397;0,006795707;-0,008715083;
1910,261;0,006719021;-0,008786899;
1912,124;0,007101669;-0,008399401;
1913,988;0,007075037;-0,008421202;
1915,852;0,00681272;-0,008678707;
1917,715;0,006757205;-0,008729427;
1919,579;0,00712003;-0,008361828;
1921,443;0,006842236;-0,008634864;
1923,306;0,006410323;-0,00906204;
1925,170;0,005889231;-0,009578412;
1927,034;0,00511807;-0,01034487;
1928,897;0,005469348;-0,009988909;
1930,761;0,005589053;-0,009864539;
1932,625;0,005558055;-0,00989089;
1934,488;0,005550114;-0,0098942;
1936,352;0,00552264;-0,009917064;
1938,216;0,005541588;-0,009893521;
1940,079;0,005612393;-0,009818139;
1941,943;0,005472258;-0,009953715;
1943,807;0,005486811;-0,009934622;
1945,670;0,005257187;-0,01015972;
1947,534;0,005289283;-0,01012312;
1949,398;0,005056519;-0,01035139;
1951,261;0,004162881;-0,01124056;
1953,125;0,004573819;-0,01082517;
1954,989;0,00530386;-0,01009069;
1956,852;0,00448988;-0,01090024;
1958,716;0,003185725;-0,0122;
1960,580;0,003465158;-0,01191617;
1962,443;0,004209393;-0,01116757;
1964,307;0,002866377;-0,01250623;
1966,171;0,001655888;-0,01371238;
1968,034;0,001297602;-0,01406634;
1969,898;0,002356997;-0,01300264;
1971,762;0,00285263;-0,01250272;
1973,625;0,001330862;-0,01402022;
1975,489;0,000666337;-0,01468048;
1977,353;0,003414817;-0,01192776;
1979,216;0,005260985;-0,01007737;
1981,080;0,005035916;-0,01029823;
1982,944;0,004035587;-0,01129437;
1984,807;0,003500106;-0,01182567;
1986,671;0,00360869;-0,01171292;
1988,535;0,003762946;-0,01155452;
1990,398;0,00279612;-0,01251722;
1992,262;0,002980835;-0,01232839;
1994,126;0,005279395;-0,01002573;
1995,989;0,004698184;-0,01060285;
1997,853;0,003008261;-0,01228871;
1999,717;0,003404147;-0,01188877;
2001,580;0,003935602;-0,01135327;
2003,444;0,003751081;-0,01153377;
2005,308;0,002950296;-0,01233055;
2007,171;0,002586654;-0,01269019;
2009,035;0,001230397;-0,01404247;
2010,899;0,0001086473;-0,01516026;
2012,762;0,001284345;-0,01398061;
2014,626;0,002219686;-0,01304133;
2016,490;0,0002845525;-0,01497254;
2018,353;-0,0003781074;-0,0156313;
2020,217;0,0005889405;-0,01466036;
2022,081;0,001828961;-0,01341646;
2023,944;0,002549796;-0,01269176;
2025,808;0,001945926;-0,01329178;
2027,672;0,001259263;-0,01397461;
2029,535;0,001000809;-0,01422924;
2031,399;0,001753551;-0,01347269;
2033,263;0,002850893;-0,01237156;
2035,126;0,00314241;-0,01207626;
